Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
8420141kh;Salfetka khoz.(KhPP)LYuKS,80*100sm;;;50;Salfetki dlya uborki iz prochikh materialov;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;FARMATEK OOO
423004/;"Protirochnyy material 350m, 1000list/rul, 2 sl., ""Veiro Professional Comfort"", sin.";3;0,02;2;Salfetki dlya uborki iz prochikh materialov;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;Syktyvkar Tissyu Grup
470010;"Mylo zhidkoe ""Nika-svezhest"" antibakt., 1l";13,5;0,021;12;Mylo zhidkoe antibakterialnoe 1.0-3.4 l s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;NPF GENIKS OOO
470009;"Mylo zhidkoe ""Nika-svezhest"" antibakt., 1l,";14,5;0,02;12;Mylo zhidkoe antibakterialnoe 1.0-3.4 l s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;;NPF GENIKS OOO
847870d;"Zhidkoe mylo ""Deliya-sept"" s dezinfitsiruyuschim effektom, 1l";10,62;0,014;10;Mylo zhidkoe antibakterialnoe 1.0-3.4 l s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;DESAN OOO
8478012f;Zhidkoe krem-mylo MILANA Fruit bubbles,1 l, s dozatorom;17;0,025;12;Krem-mylo 1.0-3.4 l s pompoy-dozatorom;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;FORMULA ChISTOTY OOO
591214b/;Nozh bel., PS;;;10;Nozhi plastikovye belye;Nozhi;1. Odnorazovaya posuda;TsPP;Zielinski Antoni PPH ZELAN ZPChr
591360;"Nozh stolov. ""kompakt"", 165mm, bel., PS";5,595;0,013;2,5;Nozhi plastikovye belye;Nozhi;1. Odnorazovaya posuda;;DIAPAZON AO
175003;"Nozh stolovyy ""kompakt"", 165mm, bel., PS";6,4;0,013;25;Nozhi plastikovye belye;Nozhi;1. Odnorazovaya posuda;pod zakaz;DIAPAZON AO
252044;Upakovka ECO TRAY 550 dlya burgera, kartofelya fri, chiabatty, 550ml, 110kh110kh42mm, korichn., karton;3,8;0,029;0,3;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;pod zakaz;DZhIDISI EAS OOO
252045;Upakovka d/khot-doga, kartoshki fri 800 ml, 190kh85kh42mm, korichn., karton;5;0,056;0,3;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;pod zakaz;DZhIDISI EAS OOO
252033;Upakovka dlya khot-dogov, kartofelya fri 165*70*40, ECO HD;7,5;0,1;0,6;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;ARKhIV;DZhIDISI EAS OOO
252045/;Lotki dlya Fast Food , ECO TRAY 800 ENJOY 190kh85kh42mm., karton;5;0,05;0,3;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;pod zakaz;DZhIDISI EAS OOO
252030a;Lotok dlya fast-fuda 180kh80kh30mm s pechatyu Rog izobiliya;5,7;0,05;0,7;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;ARKhIV;TIPOGRAFIYa ALBATROS OOO
252030v/;Lotok(korobka) dlya fast-fuda 180kh80kh30mm kraft bez pechati;2;0,013;0,22;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;pod zakaz;TIPOGRAFIYa ALBATROS OOO
252030a/;Lotok dlya fast-fuda 180kh80kh30mm s pechatyu Rog izobiliya;2;0,013;0,22;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;;TIPOGRAFIYa ALBATROS OOO
177036/;Korobka d/khot-doga, 70kh165kh40mm, korichn., karton;10,2;0,1;16;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;Koroba bez kryshki (lotki) dlya burgerov i khot-dogov;2. Upakovka;Komus;DZhIDISI EAS OOO
213406;Plenka termousadochnaya polurukav PVKh 450/900mm kh 600m 15mkm, shampan;10,4;0,018;1;Plenki termousadochnye PVKh;Plenki nepischevye;4. Polietilenovaya upakovka;pod zakaz;PIVIRAN OOO
580172v;Plenka termousadochnaya PVKh 250/500mm kh 600m, 15mkm,;8,8;0,013;1;Plenki termousadochnye PVKh;Plenki nepischevye;6. Raskhodnye materialy (prochie);TsPP;PIVIRAN OOO
580172p;Plenka termousadochnaya PVKh 250/500mm kh 650m, 15mkm, shampan;8,8;0,013;1;Plenki termousadochnye PVKh;Plenki nepischevye;6. Raskhodnye materialy (prochie);TsPP;BIOPAK OOO
115299;Stakan d/khol., 0.3l, verkh. d 90mm nizhn. d 57mm, h 100mm, 230g/m2, bel., karton;6,4;0,09;0,8;Stakany bumazhnye 300-390 ml belye, kraft 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
115285a;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, Kofe taym, s ris., odnosloynyy, karton;9,4;0,09;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
115285k;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, krasn., odnosloynyy, karton;9,4;0,09;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
115285ch;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, chern., odnosloynyy, karton;9,4;0,09;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
811503b;Stakan 0,3 KhN Tsitrus;6,4;0,082;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
115285g;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, Goroda, s ris., odnosloynyy, karton;8;0,083;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
182957;Stakan d/khol./gor., 0.3l, verkh. d 90mm nizhn. d 56mm, h 117mm, s ris. Big Citi Life, karton;1;0,022;48;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;PAPERSKOP RUS OOO
811514b;Stakan 2sl,GN,0,35l,D-90,belyy;10;0,09;0,4;Stakany bumazhnye 300-390 ml belye, kraft 1-sloynye;Stakany;1. Odnorazovaya posuda;pod zakaz;KLASSIKA-OPT OOO
115285sl;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, Siluety, chern./bel., odnosloynyy, karton;9,4;0,09;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;pod zakaz;KLASSIKA-OPT OOO
182971a;Stakan d/khol./gor., 0.35l, verkh. d 90mm nizhn. d 59mm, h 115mm, 280g/m2, kraft, karton;3,1;0,038;48;Stakany bumazhnye 300-390 ml belye, kraft 1-sloynye;Stakany;1. Odnorazovaya posuda;pod zakaz;KLASSIKA-OPT OOO
115299b;Stakan d/khol., 0.3l, verkh. d 90mm nizhn. d 57mm, h 100mm, 230g/m2, Tsitrus, zelen., karton;6,4;0,09;0,8;Stakany bumazhnye 300-390 ml tsvetnye, s dizaynom 1-sloynye;Stakany;1. Odnorazovaya posuda;;KLASSIKA-OPT OOO
370389;"Paket lamin. 25kh35kh9sm ""Khrustalnyy shar"", bum.";7,3;0,025;100;Pakety podarochnye laminirovannye tematicheskie razmer L;Pakety-sumki;4. Polietilenovaya upakovka;ARKhIV;PAKET-PRINT OOO
238804;"Paket ""mayka"" 28+14kh50sm 12mkm, belaya, PND ""Prochnye""";10;0,02;2;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;snyat s prodazh;KENGURU OOO
239151;"Paket ""mayka"" 29+16kh55sm, 15mkm, belyy, PND";19,2;0,037;3;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;snyat s prodazh;FAVORIT PAK OOO
2388044;"Paket ""mayka"" 28+14kh50sm 12mkm, belaya, PND ""Prochnye""";;;1;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;;NIZhPOLIMERUPAK PREDPRIYaTIE OOO
823923n;"Paket ""mayka"" 30+16kh60sm PVD, ""Tsvetnaya"" (vishnevyy, chernyy, serebristyy)";7;0,02;1;"Pakety tipa ""Mayka"" tsvetnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;<>;SOYuZ-POLIMER OOO PTK
280454tsv;Paket lamin. 18kh23kh10sm, (M2158-2162) v assortimente, Bumaga;8,6;0,03;200;Pakety podarochnye laminirovannye razmer M;Pakety-sumki;4. Polietilenovaya upakovka;pod zakaz;ARTPLAST AO
280454m;Paket lamin. 18kh23kh10sm, (M235-239) v assortimente, Bumaga;8,6;0,03;200;Pakety podarochnye laminirovannye razmer M;Pakety-sumki;4. Polietilenovaya upakovka;pod zakaz;ARTPLAST AO
280454ts;Paket lamin. 18kh23kh10sm, (M240-244) v assortimente, Bumaga;8,6;0,03;200;Pakety podarochnye laminirovannye razmer M;Pakety-sumki;4. Polietilenovaya upakovka;pod zakaz;ARTPLAST AO
254432b;Kryshka d-135, belaya, PS;5,16;0,06;0,576;Kryshki k kruglym konteyneram universalnye PS D ot 120 mm;Kryshki k konteyneram universalnye;2. Upakovka;;KADO-PRIM OOO
254001k;Kryshka kartonnaya d=97mm kraft;3;0,06;0,5;Kryshki k kruglym konteyneram universalnye kartonnye;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;DI.AR.VI. OOO
825501;Kryshka kartonnaya d=90mm kraft Tambien ECO;;;0,5;Kryshki k kruglym konteyneram universalnye kartonnye;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;TRIAL MARKET OOO
825501kh;Kryshka kartonnaya d=97mm kraft Tambien ECO;6;0,084;0,5;Kryshki k kruglym konteyneram universalnye kartonnye;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;TRIAL MARKET OOO
8473156;Gel dlya prochistki trub KRAFTGEL, 1l;13,2;0,03;12;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;KhIMTORG OOO
8431115;Chistyaschee sredstvo Sanitol-Krot dlya trub, 90 gr.;2;;24;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;SADKO OOO
475715v;"Sredstvo chist. schelochnoe biorazl. ""Sinergetik sredstvo d/chistki trub"", 1l.";16;0,021;15;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;Bakhetle;SINERGETIK OOO
8473127;"Chistyaschee sredstvo dlya kanalizatsionnykh trub ""KroTaran""1l";15,3;0,054;15;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;pod zakaz;TORGOVYY DOM NAYaDA OOO
8475761;"Sredstvo d/chistki kanalizatsionnykh trub MCP SUPER ""KROT"", 750ml";13,5;0,054;20;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;pod zakaz;TORGOVYY DOM NAYaDA OOO
475721a;Gel dlya udaleniya zasorov i otlozheniy v trubakh, DEC PROF 33 KROT, 1l;13;0,017;12;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;pod zakaz;DEK OOO
475715g;"Sredstvo chist. schelochnoe biorazl. ""Sinergetik sredstvo d/chistki trub"", 1l.";16;0,016;15;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;Marketpleys Wildberries;SINERGETIK OOO
475715;"Sredstvo chist. schelochnoe biorazl. ""Sinergetik sredstvo d/chistki trub"", 1l.";16;0,021;15;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;SINERGETIK OOO
847590k;"Sredstvo ot zasorov 1,0 l ""Krot"" ""Zolushka""";12;0,03;10;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;RASKhODNYE MATERIALY - URAL OOO
847584;Sredstvo d/chistki trub PRO-BRITE SCUPPER, 750ml, gel;13,3;0,018;14;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;pod zakaz;OFISMAG-POVOLZhE OOO
890561;Chistyaschee sredstvo SUPER 1 l dlya kanalizatsii;;;;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;dlya Mist.- Voronezh;TORGOVYY DOM NAYaDA OOO
451404g;"Polotentsa bumazhnye ""PERO"" bel., 2sl. 1 rul/up";;;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;pod zakaz;LILIYa OOO
845136;Polotentsa bumazhnye 2sl. 2rul., LAIMA, belyy, s perfor. tisn.;3,2;0,05;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;pod zakaz;OFISMAG-POVOLZhE OOO
451420;"Polotentsa bumazhnye .""Peryshko"" Camilla, 2sl. 2 rul.";3,25;0,06;16;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;pod zakaz;LILIYa OOO
451404b;"Polotentsa bumazhnye ""Peryshko"" bel., 2sl. 2 rul.";6;0,031;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;LILIYa OOO
845192zh;"Polotentsa bumazhnye ""Panorama Ekstra"",  2sl. 2rul., belyy, perfor";2,4;0,035;10;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;PERMSKAYa BUMAZhNAYa FABRIKA OOO
845192kh;"Polotentsa bumazhnye 2sl. 2rul., belyy, perfor ""Panorama Ekstra"" tsellyuloza 2sht /10";2,4;0,035;20;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;PERMSKAYa BUMAZhNAYa FABRIKA OOO
845191b;"Bum.polotentse ""LOTTI MINI"", 2 sl, 2rul, tsv bel";;;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;UNIPAK SERVIS OOO
845183g;Polotentsa bumazhnye 2sl. 2rul. belyy, perfor tsellyuloza 2sht/up;4;0,085;20;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;FOREST-PAK OOO TPK
451421;"Polotentsa ""V"" ukladka 2 sl bum, bel 22*23sm, 200 listov, dlya dispenserov";8;0,058;15;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;pod zakaz;LILIYa OOO
845191a;"Bum.polotentse ""LOTTI"" 2 sl,2 rul.v up.";3,72;0,045;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;UNIPAK SERVIS OOO
845133;"Polotentsa bumazhnye 2sl. 2rul., ""CLEAN"" belyy, s perfor.";3,5;0,056;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;pod zakaz;STEPNOY TYuLPAN OOO
845138;Polotentse bum. rulonnoePlushe Light, 2 sl. 2rul/up.;;;12;Polotentsa bumazhnye bytovye 2-sloynye iz tsellyulozy;Polotentsa bumazhnye bytovye;3. Servirovka stola i tovary dlya klininga;;PAPIRYuG OOO
256027k/;Kryshka kvadratn., 114kh114kh13,5mm, SmartPack 300 ploskaya, prozrachn., PET;7,63;0,096;0,45;Kryshki k pryamougolnym konteyneram universalnye PET;Kryshki k konteyneram universalnye;2. Upakovka;;DZhIDISI EAS OOO
185020/;Lozhka stolov., 165mm, bel., PS;5;0,013;45;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;pod zakaz;DIAPAZON AO
175001//;Lozhka stolov., 165mm, bel., PS;6,5;0,019;20;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;Marketpleys Ozon;DIAPAZON AO
185120a/;Lozhka stolov., 165mm, bel., PS;3;0,014;50;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;;DIAPAZON AO
141042;Lozhka stolov., 165mm, bel., PS;4,525;0,036;2,5;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;pod zakaz;PROMA OOO
185126;Lozhka stolov., 165mm, bel., PS;2,5;0,025;50;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;snyat s prodazh;DIAPAZON AO
141090;Lozhka stolov., 165mm, (kompakt), bel., PS;5,3;0,018;1,8;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;snyat s prodazh;PLASTIK-STEP-REGION OOO
185120asm;Lozhka stolov., 165mm, bel., PS;;;90;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;ChTM;DIAPAZON AO
141041;Lozhka stolov. 165mm, bel., PS;6,22;0,036;2,2;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;pod zakaz;PROMA OOO
591966;Lozhka, 165mm, bel., PS;5,5;0,013;90;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;TsPP;DIAPAZON AO
185120a//;Lozhka stolov., 165mm, bel., PS;5,5;0,018;90;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;Marketpleys Wildberries;DIAPAZON AO
141080;Lozhka stolov., 165mm, (kompakt), bel., PS;5,765;0,019;2;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;;DIAPAZON AO
591966/;Lozhka, 165mm, bel., PS;9,5;0,03;150;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;TsPP;RTS (Radiotekhnicheskie Sistemy) OOO
141100;Lozhka stolov., 165mm, (kompakt), bel., PS;7,2;0,031;2,2;Lozhki plastikovye stolovye belye 165 mm;Lozhki;1. Odnorazovaya posuda;pod zakaz;RTS (Radiotekhnicheskie Sistemy) OOO
263509;Upakovka 1,57l, vnesh. 224kh116kh85mm, vnutr. 200kh93kh81mm, prozrachn., PET;12,3;0,152;0,74;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 220-229 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;KAShTAN SPB OOO
263510;Upakovka 1,57l, pryamoug., vnesh. 224kh116kh85mm, vnutr. 200kh93kh81mm, prozrachn., PET;11,5;0,145;0,7;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 220-229 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;KAShTAN SPB OOO
263510a;Upakovka 1,57l, vnesh. 224kh116kh85mm, vnutr. 200kh93kh81mm, prozrachn., PET;13,74;0,145;0,74;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 220-229 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;KAShTAN GRUPP OOO
99264503;Termoupakovka 229*161*64(konteyner-rakushka);10;0,117;350;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 220-229 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;Tender;KANTsMASTER-KRYM OOO
252007;Korobka d/rolla 200kh86kh38mm s pechatyu Rog izobiliya;6,8;0,016;0,5;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;TIPOGRAFIYa ALBATROS OOO
252007a;Korobka d/rolla 210kh80kh60mm s pechatyu Rog izobiliya;6,8;0,016;0,4;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;TIPOGRAFIYa ALBATROS OOO
145457;Lozhka d/khol./gor., 180mm, kristall, al., PS;7;0,021;0,7;Lozhki plastikovye stolovye tsvetnye 180 mm;Lozhki;1. Odnorazovaya posuda;;DIAPAZON AO
591064;Lozhka 180mm, oranzh., PS;4;0,021;70;Lozhki plastikovye stolovye tsvetnye 180 mm;Lozhki;1. Odnorazovaya posuda;TsPP;DIAPAZON AO
591063;Lozhka 180mm, salat., PS;4;0,021;70;Lozhki plastikovye stolovye tsvetnye 180 mm;Lozhki;1. Odnorazovaya posuda;TsPP;DIAPAZON AO
191120z/;Lozhka 145mm, zelen., kukuruznyy krakhmal;4,3;0,018;20;Lozhki iz kukuruznogo krakhmala do 170 mm;Lozhki;1. Odnorazovaya posuda;Marketpleys Wildberries;Hangzhou Yifeng Biotechnology Co,.LTD
192121;Lozhka 145mm, bel., kukuruznyy krakhmal;3,8;0,013;80;Lozhki iz kukuruznogo krakhmala do 170 mm;Lozhki;1. Odnorazovaya posuda;;Hangzhou Yifeng Biotechnology Co,.LTD
239955;"Paket ""mayka"" 32+18kh60sm PND, ""SAMOVAR"" 16 mkm";15;0,037;1,5;"Pakety tipa ""Mayka"" tsvetnye s dizaynom";Pakety-sumki;4. Polietilenovaya upakovka;snyat s proizvodstva;KENGURU OOO
273011tt;Pakety (350+150)kh450mm  korichn.,70g/m2, kraft bum. s ploskoy ruchkoy;16,8;0,116;0,25;Pakety bumazhnye s ploskimi ruchkami buryy kraft;Pakety-sumki;4. Polietilenovaya upakovka;;TEK-PAK OOO
246030n;"Paket (meshok) prorub PVD 475kh390mm, 60mkm ""Noch""";;;;Pakety s prorubnymi ruchkami PVD, PND tematicheskie razmer M;Pakety-sumki;4. Polietilenovaya upakovka;pod zakaz;TIKO-Plastik AO
246025b;"Paket (meshok) prorub PVD 450kh380sm, 60mkm, ""Pomoschniki s podarkami""";8;0,03;0,5;Pakety s prorubnymi ruchkami PVD, PND tematicheskie razmer M;Pakety-sumki;4. Polietilenovaya upakovka;snyat s proizvodstva;TIKO-Plastik AO
240782;"Paket ""mayka"" 43+18kh64sm PND, ""Elektronika"" (zheltyy)";15;0,05;1,5;"Pakety tipa ""Mayka"" tsvetnye s dizaynom";Pakety-sumki;4. Polietilenovaya upakovka;;SOYuZ-POLIMER OOO PTK
239870;"Paket ""mayka"" 30+16kh60sm, PND, ""Blagodarim za pokupku""";7;0,027;1;"Pakety tipa ""Mayka"" tsvetnye s dizaynom";Pakety-sumki;4. Polietilenovaya upakovka;snyat s prodazh;SOYuZ-POLIMER OOO PTK
246051e;"Paket (meshok) prorub PVD 450kh380mm, 60mkm, ""Veselaya gorka"" lam.";8,3;0,03;0,5;Pakety s prorubnymi ruchkami PVD, PND tematicheskie razmer M;Pakety-sumki;4. Polietilenovaya upakovka;NG;TIKO-Plastik AO
254000;Kremanka bumazhnaya belaya 245 ml d=98mm, h=55mm;4;0,1;0,8;Konteynery universalnye kartonnye kruglye do 300 ml;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;DI.AR.VI. OOO
254000a;Kremanka bumazhnaya golubaya v belyy goroshek 245 ml d=98mm, h=55mm;;;0,8;Konteynery universalnye kartonnye kruglye do 300 ml;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;DI.AR.VI. OOO
253023;Upakovka d/sushi, pryamoug., vnesh. 172kh235kh65mm, vnutr. 155kh220kh55mm, 3-sekts., prozrachn., OPS;7;0,07;0,25;Konteynery dlya sushi s nerazyemnoy kryshkoy;Konteynery dlya sushi;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
253024a;Upakovka dlya SUShI 3-sekts., vnesh.235kh172kh65mm,  vnutr. 220kh155x60mm, PET.;9,5;0,11;0,36;Konteynery dlya sushi s nerazyemnoy kryshkoy;Konteynery dlya sushi;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
8264502;Upakovka sred. vnutr. 220kh155x55,vnesh.235kh172kh65mm, , OPS  IP-30 SUShI;11,2;0,133;0,4;Konteynery dlya sushi s nerazyemnoy kryshkoy;Konteynery dlya sushi;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
264000b;Upakovka d/vypechki, pryamoug., vnesh. 158kh248kh109mm, vnutr. 127kh232kh102mm, prozrachn., PET;4,8;0,092;0,16;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 230-249 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
263511a;Upakovka pryam. vnesh. 218x115x84mm, vnutr. 206kh100kh80mm, prozrachnaya, PET;10;0,128;0,32;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
